place_id,username,rating,content,disability_type
17561073,user1,5,경사로가 잘 되어 있어서 휠체어 이동이 편했습니다.,wheelchair
17561073,user2,4,엘리베이터가 넓어서 좋네요.,wheelchair
17565571,user3,3,화장실은 있는데 좀 좁아요.,crutches
17565571,user1,4,입구 턱이 없어서 좋았습니다.,wheelchair
1984484431,user4,5,점자 안내판이 잘 되어 있어요.,visual
1984484431,user5,2,소리가 너무 울려서 듣기 힘들었습니다.,hearing
17568151,user2,1,경사로가 너무 가팔라서 위험해요.,wheelchair
17563442,user3,5,장애인 주차구역이 입구랑 가까워요.,crutches
17560761,user4,4,직원분들이 친절하게 안내해 주셨습니다.,visual
17565569,user5,3,화면 해설이 없어서 아쉬웠어요.,hearing
17558687,user1,5,모든 시설이 완벽하게 갖춰져 있습니다.,wheelchair
16633998,user2,4,화장실 손잡이가 튼튼해요.,wheelchair
17565570,user3,2,엘리베이터 고장이 잦아요.,crutches
17560766,user4,5,음성 안내 기능이 유용했습니다.,visual
17563348,user5,4,수어 통역이 가능해서 좋았어요.,hearing
17563353,user1,3,통로가 좁아서 이동하기 불편합니다.,wheelchair
17560762,user2,5,휠체어 충전기가 있어서 다행이었어요.,wheelchair
27103334,user3,4,자동문이라 출입이 편해요.,crutches
24661123,user4,3,유도 블록이 중간에 끊겨 있어요.,visual
17561467,user5,5,키오스크 높이가 적절해서 좋았습니다.,hearing
